task_id,difficulty,prompt,canonical_query,generated_query,canonical_success,generated_success,is_correct,is_strict_match,match_type,execution_accuracy,f1_score,precision,recall,jaccard_similarity,query_similarity,canonical_count,generated_count,true_positives,false_positives,false_negatives,details
1.1,Easy technical prompt,Find the distinct IXPs' names of which the AS with asn 8075 is member of.,MATCH (:AS {asn: 8075})-[:MEMBER_OF]->(ixp:IXP) RETURN DISTINCT ixp.name,"MATCH (:AS {asn: 8075})-[:MEMBER_OF]-(ix:IXP)
RETURN DISTINCT ix.name",True,True,True,False,semantic_equivalent,1.0,1.0,1.0,1.0,1.0,0.6154,242,242,242,0,0,TP:242 FP:0 FN:0
1.2,Easy general prompt,Give me the names of the IXPs where AS8075 is a member.,MATCH (:AS {asn: 8075})-[:MEMBER_OF]->(ixp:IXP) RETURN DISTINCT ixp.name,MATCH (:AS {asn: 8075})-[:MEMBER_OF]-(ix:IXP) RETURN ix.name,True,True,True,False,semantic_equivalent,1.0,1.0,1.0,1.0,1.0,0.5385,242,708,242,0,0,TP:242 FP:0 FN:0
2.1,Easy technical prompt,Find the percentage of the population for the Country with country_code 'US' hosted by the AS with asn 8075.,MATCH (:AS {asn:8075})-[p:POPULATION]-(:Country {country_code:'US'}) RETURN p.percent,MATCH (:AS {asn: 8075})-[p:POPULATION]->(:Country {country_code: 'US'}) RETURN p.percent,True,True,True,True,numeric_exact_match,1.0,1.0,1.0,1.0,1.0,0.9167,1,1,1,0,0,Exact match: 0.038855139
2.2,Easy general prompt,Find the percentage of United States' population covered by AS8075.,MATCH (:AS {asn:8075})-[p:POPULATION]-(:Country {country_code:'US'}) RETURN p.percent,MATCH (a:AS {asn: 8075})-[r:POPULATION]->(c:Country {country_code: 'US'}) RETURN r.percent,True,True,True,True,numeric_exact_match,1.0,1.0,1.0,1.0,1.0,0.5625,1,1,1,0,0,Exact match: 0.038855139
3.1,Medium technical prompt,Find rank numbers and the corresponding rank names for the AS with asn 8075 in the Country with country_code 'US'.,"MATCH (:AS  {asn:8075})-[r1:RANK]-(r2:Ranking)--(:Country {country_code:'US'}) RETURN r1.rank, r2.name","MATCH (:AS {asn: 8075})-[r:RANK]->(rk:Ranking)-[:COUNTRY]->(:Country {country_code: 'US'})
RETURN r.rank, rk.name",True,True,True,True,exact_match,1.0,1.0,1.0,1.0,1.0,0.4762,1,1,1,0,0,All columns match: r1.rank=130
3.2,Medium general prompt,Find ranks and the corresponding rank names of AS8075 in the United States.,"MATCH (:AS {asn:8075})-[r1:RANK]-(r2:Ranking)--(:Country {country_code:'US'}) RETURN r1.rank, r2.name","MATCH (:AS {asn: 8075})-[r:RANK]->(rk:Ranking)-[:COUNTRY]->(:Country {country_code: 'US'}) RETURN r.rank, rk.name",True,True,True,True,exact_match,1.0,1.0,1.0,1.0,1.0,0.4762,1,1,1,0,0,All columns match: r1.rank=130
4.1,Hard technical prompt,Find all the AS nodes that have a peer to peer relationship with the AS with asn 8075.,MATCH (:AS {asn:8075})-[:PEERS_WITH {rel: 0}]-(a:AS) RETURN a,"MATCH (:AS {asn: 8075})-[:PEERS_WITH]-(peer:AS)
RETURN peer",True,True,True,False,semantic_equivalent,1.0,1.0,1.0,1.0,1.0,0.5385,1226,1294,440,0,0,TP:440 FP:0 FN:0
4.2,Hard general prompt,Find the ASes that are peering with AS8075.,MATCH (:AS {asn:8075})-[:PEERS_WITH]-(a:AS) RETURN a,MATCH (:AS {asn: 8075})-[:PEERS_WITH]-(peer:AS) RETURN peer,True,True,True,False,semantic_equivalent,1.0,1.0,1.0,1.0,1.0,0.6364,1294,1294,440,0,0,TP:440 FP:0 FN:0
5.1,Easy technical prompt,Find the distinct names of the AS with asn 8075.,MATCH (:AS {asn:8075})-[:NAME]-(n:Name) RETURN DISTINCT n.name,MATCH (a:AS {asn: 8075})-[:NAME]-(n:Name) RETURN DISTINCT n.name,True,True,True,True,exact_match,1.0,1.0,1.0,1.0,1.0,0.9091,3,3,3,0,0,TP:3 FP:0 FN:0
5.2,Easy general prompt,Give me the names of AS8075.,MATCH (:AS {asn:8075})-[:NAME]-(n:Name) RETURN DISTINCT n.name,MATCH (a:AS {asn: 8075})-[:NAME]-(n:Name) RETURN n.name,True,True,True,False,semantic_equivalent,1.0,1.0,1.0,1.0,1.0,0.8182,3,6,3,0,0,TP:3 FP:0 FN:0
